# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
600000 200
186 12.985 0.951017 6.35385 0.979287 342.689 0.985949 340.125
187 13.055 0.913715 6.4532 0.977131 348.169 0.985159 345.644
188 13.125 0.950855 6.5577 0.976033 353.702 0.984556 351.22
189 13.195 0.942143 6.66235 0.980829 359.321 0.983914 356.851
190 13.265 0.958505 6.76995 0.976109 364.973 0.983448 362.539
191 13.335 0.936128 6.87615 0.979299 370.703 0.983008 368.286
192 13.405 0.939897 6.9839 0.98007 376.498 0.982491 374.089
193 13.475 0.983679 7.09785 0.981261 382.361 0.982205 379.952
194 13.545 0.982082 7.2128 0.980732 388.282 0.98224 385.876
195 13.615 1.0016 7.33125 0.982341 394.274 0.982947 391.865
196 13.685 0.974645 7.4477 0.985697 400.349 0.983338 397.919
197 13.755 0.980077 7.566 0.987997 406.5 0.983383 404.035
198 13.825 0.969767 7.68425 0.990527 412.73 0.983903 410.217
199 13.895 1.01036 7.8087 0.988611 419.01 0.98477 416.467
200 13.965 0.999851 7.9331 0.993092 425.384 0.985713 422.786
1000000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 1.05213e-05 3.06122e-06
44 3.045 0 0 0.000573548 0.000175 0.000204211 6.53061e-05
45 3.115 0 0 0.00305348 0.00115 0.00179781 0.000638776
