# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
400000 200
183 12.775 0.964292 6.5647 0.979891 325.291 0.991686 323.929
184 12.845 0.961885 6.66595 0.977441 330.598 0.989574 329.297
185 12.915 1.01069 6.7735 0.9794 335.974 0.987801 334.713
186 12.985 0.986343 6.8796 0.980499 341.414 0.986936 340.183
187 13.055 1.00201 6.98855 0.978379 346.901 0.986869 345.712
188 13.125 0.959954 7.09405 0.97935 352.452 0.984285 351.286
189 13.195 0.984006 7.20335 0.984542 358.093 0.983333 356.914
190 13.265 1.00171 7.3158 0.977482 363.753 0.983264 362.601
191 13.335 1.02383 7.43195 0.98097 369.493 0.983221 368.349
192 13.405 1.00532 7.5472 0.981135 375.294 0.983277 374.157
193 13.475 0.959076 7.6583 0.98442 381.176 0.98303 380.024
194 13.545 1.03163 7.77905 0.986003 387.129 0.983384 385.955
195 13.615 0.960171 7.8926 0.988071 393.156 0.983349 391.947
196 13.685 0.939493 8.00485 0.986536 399.235 0.983191 398
197 13.755 0.961022 8.12085 0.991093 405.406 0.983218 404.115
198 13.825 0.962386 8.2382 0.989024 411.626 0.98398 410.298
199 13.895 1.00467 8.36195 0.994553 417.945 0.984524 416.546
200 13.965 0.965692 8.4821 0.997892 424.348 0.985198 422.862
800000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 7.0142e-06 2.04082e-06
44 3.045 0 0 0 0 0.000174081 5.5102e-05
45 3.115 0 0 0.00227054 0.000725 0.00176902 0.000619388
46 3.185 0.0231767 0.00015 0.0161764 0.006125 0.00996913 0.00394388
