# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
600000 200
133 9.275 0.974885 2.20005 0.995068 119.538 0.962739 117.911
134 9.345 1.027 2.25705 1.00482 122.414 0.967969 120.679
135 9.415 1.05261 2.31635 1.00877 125.346 0.971573 123.5
136 9.485 1.10622 2.3796 1.01561 128.341 0.976008 126.375
137 9.555 1.0375 2.4398 1.01338 131.374 0.981889 129.311
138 9.625 1.05219 2.50175 1.02824 134.496 0.985885 132.301
139 9.695 1.03035 2.5633 1.01941 137.637 0.991586 135.354
140 9.765 1.06514 2.62785 1.02728 140.848 0.99546 138.462
141 9.835 1.02888 2.6911 1.03194 144.12 0.998761 141.626
142 9.905 1.05449 2.75685 1.03471 147.448 1.0039 144.851
143 9.975 1.07848 2.82505 1.03704 150.831 1.00596 148.129
144 10.045 1.00659 2.8896 1.0402 154.271 1.00964 151.465
145 10.115 1.06037 2.95855 1.04616 157.78 1.01476 154.865
146 10.185 1.0375 3.02695 1.0454 161.335 1.01681 158.319
147 10.255 1.07426 3.09875 1.04157 164.925 1.02098 161.835
148 10.325 1.04793 3.16975 1.0489 168.591 1.02308 165.407
149 10.395 1.03241 3.24065 1.04444 172.291 1.02522 169.034
150 10.465 1.08042 3.31585 1.04717 176.05 1.02973 172.727
151 10.535 1.06753 3.39115 1.05047 179.872 1.03045 176.473
152 10.605 0.987729 3.46175 1.04481 183.724 1.03198 180.273
153 10.675 1.06319 3.53875 1.0486 187.641 1.0328 184.127
154 10.745 1.02894 3.61425 1.04069 191.579 1.03489 188.04
155 10.815 1.05669 3.6928 1.04104 195.571 1.03593 192.008
156 10.885 1.06572 3.77305 1.039 199.606 1.03533 196.025
157 10.955 1.03575 3.85205 1.0369 203.686 1.03564 200.095
158 11.025 1.02523 3.93125 1.03412 207.806 1.0356 204.217
159 11.095 0.989329 4.00865 1.03444 211.98 1.03432 208.387
160 11.165 0.960554 4.08475 1.03123 216.194 1.03446 212.61
161 11.235 0.982902 4.1636 1.0315 220.462 1.03337 216.881
162 11.305 1.00524 4.24525 1.02508 224.757 1.03356 221.207
163 11.375 0.96068 4.32425 1.02425 229.101 1.03179 225.579
164 11.445 0.9838 4.40615 1.01723 233.469 1.02967 229.996
165 11.515 0.983149 4.489 1.01885 237.898 1.02872 234.462
166 11.585 0.970132 4.57175 1.01542 242.365 1.026 238.972
167 11.655 0.978784 4.65625 1.01166 246.87 1.02558 243.534
168 11.725 0.963698 4.74045 1.00636 251.405 1.0228 248.138
169 11.795 0.956252 4.825 1.0049 255.988 1.02106 252.79
170 11.865 0.943326 4.9094 0.996814 260.588 1.0186 257.486
171 11.935 0.983105 4.9984 0.997362 265.245 1.01697 262.23
172 12.005 0.962394 5.08655 0.996941 269.955 1.01411 267.016
173 12.075 0.980944 5.17745 0.99378 274.705 1.01232 271.85
174 12.145 0.932867 5.2649 0.987719 279.481 1.00957 276.726
175 12.215 0.956478 5.3556 0.989419 284.32 1.00723 281.648
176 12.285 0.940918 5.44585 0.985033 289.193 1.00512 286.615
177 12.355 0.959664 5.53895 0.984724 294.121 1.00231 291.625
178 12.425 0.951939 5.63235 0.985931 299.11 1.00045 296.683
179 12.495 0.932232 5.72485 0.983581 304.144 0.998328 301.787
180 12.565 0.942803 5.81945 0.98328 309.233 0.995557 306.934
181 12.635 0.933864 5.9142 0.975353 314.337 0.993973 312.131
182 12.705 0.936761 6.0103 0.979999 319.523 0.99201 317.375
183 12.775 0.916882 6.1054 0.975738 324.743 0.991342 322.673
184 12.845 0.944585 6.20445 0.977483 330.029 0.989472 328.019
185 12.915 0.948995 6.30505 0.976024 335.366 0.98769 333.414
186 12.985 0.954656 6.40735 0.977416 340.768 0.986982 338.863
187 13.055 0.936136 6.50875 0.974829 346.215 0.985075 344.361
188 13.125 0.964083 6.6143 0.980781 351.753 0.9845 349.915
189 13.195 0.929481 6.71715 0.978261 357.336 0.982819 355.519
190 13.265 0.967537 6.82535 0.975756 362.965 0.982615 361.181
191 13.335 0.977758 6.93585 0.978448 368.668 0.982815 366.904
192 13.405 0.938239 7.043 0.978935 374.435 0.982025 372.682
193 13.475 0.98311 7.15645 0.984133 380.292 0.982437 378.524
194 13.545 0.938241 7.26585 0.983694 386.208 0.98209 384.425
195 13.615 0.934135 7.3759 0.984952 392.193 0.981865 390.385
196 13.685 0.972913 7.4917 0.985864 398.246 0.982478 396.41
197 13.755 0.984243 7.61005 0.985062 404.355 0.983245 402.502
198 13.825 0.997763 7.73125 0.993586 410.58 0.98354 408.658
199 13.895 0.954729 7.8484 0.988795 416.838 0.983864 414.879
200 13.965 0.962125 7.96765 0.99487 423.199 0.984862 421.168
1000000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 3.69222e-06 1.02041e-06
43 2.975 0 0 0 0 1.76026e-05 6.12245e-06
44 3.045 0 0 0.000493493 0.00015 0.00019155 6.42857e-05
