# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
271000 200
48 3.325 0.0731799 0.0053 0.0275392 0.01024 0.0092999 0.003392
49 3.395 0.18741 0.0163 0.0756378 0.03246 0.0285179 0.011768
50 3.465 0.366044 0.03868 0.154768 0.07982 0.0643251 0.031448
51 3.535 0.609409 0.07746 0.258905 0.16228 0.118129 0.069064
52 3.605 0.846473 0.13348 0.392533 0.2923 0.191359 0.132436
53 3.675 1.06608 0.2068 0.526202 0.47343 0.272426 0.226192
54 3.745 1.27919 0.29816 0.659572 0.7092 0.355602 0.35328
55 3.815 1.41806 0.40326 0.791111 1.00266 0.450397 0.52032
56 3.885 1.52173 0.52022 0.89931 1.34861 0.538014 0.727244
57 3.955 1.53388 0.6424 1.00454 1.74909 0.619341 0.974108
58 4.025 1.5702 0.77194 1.08092 2.19541 0.703029 1.26434
59 4.095 1.5678 0.90582 1.151 2.68734 0.777068 1.59638
60 4.165 1.51396 1.03956 1.21288 3.22359 0.843377 1.96919
61 4.235 1.44988 1.17198 1.23693 3.78901 0.882087 2.37233
62 4.305 1.42918 1.30686 1.23861 4.37407 0.908766 2.8015
63 4.375 1.37642 1.44102 1.24957 4.98366 0.938991 3.25948
64 4.445 1.3843 1.5803 1.27016 5.62328 0.966837 3.74626
65 4.515 1.32167 1.7175 1.28089 6.28878 1.00733 4.26952
66 4.585 1.29153 1.85576 1.28671 6.97819 1.03891 4.82605
67 4.655 1.27871 1.99686 1.29621 7.69406 1.08387 5.42453
68 4.725 1.22844 2.13652 1.32273 8.44671 1.12367 6.06379
69 4.795 1.22854 2.28036 1.34709 9.2361 1.16313 6.74524
70 4.865 1.1868 2.4234 1.37529 10.0657 1.21785 7.47974
71 4.935 1.17643 2.5693 1.39476 10.9315 1.26631 8.2656
72 5.005 1.16806 2.7183 1.39509 11.8222 1.27727 9.08091
73 5.075 1.10922 2.86378 1.34738 12.7066 1.23131 9.88902
74 5.145 1.11322 3.01384 1.30754 13.5888 1.20523 10.702
75 5.215 1.11459 3.1682 1.27321 14.4713 1.19797 11.5322
76 5.285 1.07921 3.3217 1.24671 15.3588 1.19469 12.3825
77 5.355 1.07542 3.47874 1.23568 16.2619 1.18892 13.2513
78 5.425 1.02476 3.63232 1.21421 17.1727 1.18601 14.1407
79 5.495 0.967473 3.78108 1.20509 18.1001 1.18356 15.0514
80 5.565 0.979812 3.9356 1.17546 19.0279 1.17556 15.979
81 5.635 0.985924 4.09502 1.15415 19.9619 1.177 16.9314
82 5.705 0.961154 4.25432 1.13689 20.905 1.16917 17.901
83 5.775 0.958133 4.41704 1.11543 21.8531 1.14884 18.8774
84 5.845 0.932907 4.57934 1.09708 22.8084 1.13851 19.8685
85 5.915 0.922183 4.74364 1.07243 23.7647 1.12758 20.8738
86 5.985 0.920803 4.9116 1.06501 24.737 1.12096 21.8969
87 6.055 0.895244 5.07874 1.05393 25.7218 1.1108 22.9347
88 6.125 0.855845 5.24224 1.05068 26.7264 1.1034 23.9895
89 6.195 0.83999 5.4064 1.04328 27.7469 1.09095 25.0564
90 6.265 0.823126 5.57092 1.03402 28.7813 1.08063 26.1372
91 6.335 0.798087 5.73402 1.01957 29.8241 1.06084 27.222
92 6.405 0.822384 5.90582 0.998126 30.8677 1.0483 28.3179
93 6.475 0.799359 6.07648 0.984654 31.9199 1.02583 29.4138
94 6.545 0.779694 6.24656 0.952539 32.9598 1.01144 30.5179
95 6.615 0.788591 6.42228 0.936844 34.0047 0.992582 31.6246
96 6.685 0.835879 6.6125 0.933947 35.0684 0.975718 32.7357
97 6.755 0.797643 6.79784 0.925302 36.1445 0.960514 33.8526
98 6.825 0.807504 6.98938 0.921876 37.2389 0.944912 34.9741
99 6.895 0.80284 7.18374 0.914345 38.3468 0.940062 36.1129
100 6.965 0.813501 7.3847 0.909283 39.4711 0.933738 37.2672
101 7.035 0.808582 7.58848 0.909536 40.6183 0.930791 38.441
102 7.105 0.799108 7.7939 0.902024 41.7789 0.925722 39.6318
103 7.175 0.840886 8.01434 0.897748 42.9568 0.919219 40.8376
104 7.245 0.854421 8.24272 0.891129 44.1489 0.914225 42.0604
105 7.315 0.850625 8.4745 0.893411 45.3673 0.909617 43.3007
106 7.385 0.870655 8.7163 0.900547 46.6191 0.904953 44.5583
107 7.455 0.861378 8.96008 0.902755 47.8978 0.900977 45.8343
108 7.525 0.871853 9.21148 0.90228 49.2 0.900033 47.133
109 7.595 0.905832 9.47756 0.908627 50.5358 0.903905 48.4616
110 7.665 0.93335 9.7568 0.915167 51.9062 0.90418 49.8152
111 7.735 0.940822 10.0434 0.925447 53.3174 0.902277 51.1908
112 7.805 0.935369 10.3336 0.931683 54.7639 0.906963 52.5987
113 7.875 0.925971 10.626 0.939198 56.2484 0.916388 54.0468
114 7.945 0.920552 10.9219 0.947311 57.7724 0.917304 55.5223
115 8.015 0.956083 11.2347 0.944786 59.3193 0.92156 57.0308
116 8.085 0.99031 11.5643 0.963684 60.9248 0.926434 58.5739
117 8.155 0.985725 11.8981 0.975477 62.5782 0.930161 60.1502
118 8.225 0.993228 12.2403 0.986209 64.2786 0.937572 61.7664
119 8.295 1.00439 12.5922 0.998979 66.0305 0.94394 63.4215
120 8.365 0.998035 12.9478 1.00533 67.8233 0.952188 65.1192
121 8.435 1.01891 13.317 1.00878 69.6526 0.95684 66.854
122 8.505 1.03082 13.6967 1.01035 71.5153 0.964266 68.6313
123 8.575 1.06144 14.0941 1.02062 73.428 0.971526 70.4517
124 8.645 1.06051 14.4977 1.02262 75.3758 0.983311 72.3243
125 8.715 1.07089 14.9119 1.0332 77.3758 0.986108 74.2327
126 8.785 1.06713 15.3313 1.04671 79.4347 0.990771 76.1811
127 8.855 1.06029 15.7547 1.05149 81.536 0.99708 78.1733
128 8.925 1.06803 16.1879 1.05613 83.6801 1.00304 80.2093
129 8.995 1.06157 16.6253 1.05556 85.8568 1.01202 82.2958
130 9.065 1.06158 17.0695 1.05796 88.0725 1.01418 84.4194
131 9.135 1.05112 17.5161 1.05503 90.3164 1.01859 86.5853
132 9.205 1.0612 17.974 1.05775 92.6006 1.02255 88.7931
133 9.275 1.05647 18.4368 1.06584 94.9375 1.02702 91.0444
